Temperature_C,Humidity,Soil_Moisture,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Soil_pH,Irrigation_Need
25.32,42.38,15.25,602.97,9.88,9.98,7.85,Low
17.21,45.31,13.47,1922.03,4.71,19.13,6.68,Medium
26.62,70.89,11.0,11.02,7.94,13.62,5.56,High
18.71,74.54,38.58,1169.81,5.03,1.1,7.7,Low
14.9,68.39,47.06,312.59,7.49,11.08,6.88,Low
38.87,71.36,18.89,1475.77,5.55,14.64,6.16,Medium
37.48,78.37,34.41,280.99,8.86,2.83,7.01,Low
14.7,36.16,35.79,1626.18,8.94,12.04,5.84,Low
20.57,90.28,24.54,825.86,5.59,19.73,6.06,Medium
13.82,77.64,9.31,1065.22,8.51,1.06,7.67,Low
40.01,81.53,50.1,1142.98,6.03,12.94,5.34,Medium
29.61,63.55,48.66,459.53,8.12,11.89,5.02,Low
26.46,49.74,41.83,630.23,6.48,1.85,8.13,Low
18.25,49.62,19.87,1412.02,4.48,8.15,6.74,Low
31.19,45.08,53.76,2256.75,6.28,17.27,7.97,Medium
31.12,65.19,8.84,2097.92,5.58,10.47,7.28,Medium
28.16,80.78,19.76,345.9,5.24,7.16,7.61,Low
23.74,81.67,39.74,2294.7,6.27,2.22,5.23,Low
34.3,30.01,21.31,676.73,6.12,15.45,5.92,Medium
12.22,92.26,27.4,380.97,6.41,2.09,7.91,Low
31.58,39.69,40.43,1370.9,9.85,9.43,6.63,Low
41.7,58.12,63.03,965.14,8.86,2.97,7.56,Medium
32.02,57.85,21.92,1958.53,7.25,13.29,6.44,Medium
34.12,48.38,61.51,576.58,8.11,18.86,6.18,Low
19.42,91.03,17.29,1796.85,6.39,12.46,5.72,Medium
19.6,32.91,64.11,1044.79,7.0,15.89,7.31,Low
25.83,56.34,45.72,2396.1,6.09,0.54,6.98,Low
13.45,59.7,63.13,383.09,4.59,11.1,7.19,Medium
19.17,42.52,42.4,1405.26,10.25,1.35,6.41,Low
17.09,58.22,54.25,1226.29,9.11,18.47,6.35,Low
22.94,42.76,50.53,1336.59,8.92,18.06,5.75,Low
17.65,84.0,43.71,1430.65,4.12,1.31,5.05,Low
28.39,82.08,24.52,286.15,7.54,10.01,5.92,High
41.58,32.32,34.42,1470.32,10.72,10.31,6.3,Medium
13.0,91.68,43.97,2126.11,8.18,5.66,5.91,Low
29.28,71.1,19.86,2163.31,4.04,7.15,6.45,Low
32.74,29.7,37.38,2389.53,4.88,13.5,5.27,Medium
38.34,37.68,37.47,100.51,8.24,9.01,8.09,Medium
25.95,94.96,48.14,291.76,5.82,10.44,5.07,Medium
27.05,35.81,56.16,214.34,8.36,17.72,7.96,Medium
27.67,54.66,9.95,1757.14,4.25,12.74,7.74,Low
30.01,83.46,54.02,869.91,7.85,14.02,6.09,Low
13.96,36.59,20.92,1102.65,4.6,10.7,6.01,Medium
15.5,35.43,35.95,200.1,4.4,7.41,7.52,Low
33.26,31.84,14.61,2206.61,5.32,14.67,4.97,Medium
29.15,37.71,31.65,973.72,4.04,10.4,7.94,Medium
